time_s,arm_pos_rad,arm_vel_rad_s,pendulum_angle_rad,pendulum_vel_rad_s,control_action,acceleration_cmd_rad_s2,pendulum_angle_unwrapped,sim_cart_pos,sim_pole_angle,env_cart_pos,env_pole_angle,dyn_ghost_sim_pole_angle,env_action
4.75008,-0.3952,2.991,-0.933,0.3216,-0.437,-21.8481,6.4936720149701035,0.6677433416084188,7.269896140749222,0.06064898946434545,3.685872658517183,6.921736487506063,-0.0014736364828422666
4.77508,-0.3564,1.5514,-0.8573,0.317,-0.4447,-22.2359,6.73149057884685,0.6941851293908864,7.315320948118979,0.05291806245674876,3.862179905705576,7.049416577566292,0.002765781246125698
4.80008,-0.3147,1.6688,-0.7931,0.269,-0.375,-18.7525,6.933180827207315,0.710187412726605,7.282249041401133,0.04651806633061531,4.103952696861404,7.109523071514438,0.0029131239280104637
4.82513,-0.2975,0.6859,-0.7444,0.204,-0.3,-15.0003,7.086176389437139,0.7178804477717476,7.171898316885135,0.02910392237846313,4.41780483987459,7.112406940162216,-0.2941575348377228
4.85008,-0.2847,0.5114,-0.7148,0.1237,-0.252,-12.6023,7.179167531983396,0.7184618168941801,6.991124037674711,0.0023835151414810197,4.818540386282616,7.046829681878039,-0.2917833626270294
4.87508,-0.2832,0.0589,-0.7067,0.0343,-0.2526,-12.6299,7.204614432477474,0.7116551707635858,6.753874169036478,-0.03304412272905604,5.307963131896601,6.9221631079837165,-0.2792145907878876
4.90008,-0.2901,-0.2749,-0.7219,-0.0639,-0.265,-13.251,7.156862224142909,0.6970583850309902,6.481029952265957,-0.07470925426788438,5.86529301910243,6.7463634399677455,-0.28627458214759827
4.92513,-0.3014,-0.4507,-0.7584,-0.1529,-0.1936,-9.6803,7.042194092286881,0.6772208984746295,6.1960717802514145,-0.13254814393670566,6.479824033726747,6.532564381994149,-0.3819104731082916
4.95008,-0.3269,-1.0234,-0.8135,-0.2306,-0.0914,-4.5695,6.8690923370740835,0.6554545341754372,5.923350022775474,-0.20063994846464758,7.087951935089449,6.307778217127311,-0.4050087034702301
4.97513,-0.3475,-0.8227,-0.8835,-0.2935,0.0761,3.8072,6.649180851322798,0.6366422592731568,5.6838990076374145,-0.26788850861888464,7.631860504437311,6.07958642688278,0.0051830364391207695
5.00007,-0.379,-1.2597,-0.963,-0.3329,0.3214,16.0712,6.39942423536241,0.6282846718986207,5.492576288183899,-0.32353065030735284,8.076040595281619,5.880628083538064,0.4289303123950958
5.02515,-0.3942,-0.607,0.952,-0.3559,0.5219,26.0937,6.1323888598072775,0.6357823136136895,5.36104311263338,-0.35524009209548163,8.422515132258209,5.709770254917901,0.7277095913887024
5.05008,-0.4025,-0.3347,0.8708,-0.34,0.5412,27.0582,5.877291536335786,0.6586537107939839,5.299008060488087,-0.35455038360543395,8.700817522380945,5.587242495888684,0.7693647146224976
5.07508,-0.3947,0.3141,0.7976,-0.3068,0.423,21.1511,5.647326954093013,0.6932310771665318,5.311946244078809,-0.3315816112964028,8.927833412375481,5.516992158942416,0.8319253325462341
5.10008,-0.3662,1.139,0.7401,-0.2408,0.3928,19.6396,5.4666853765116,0.7391158093246668,5.3983070736186844,-0.288276002802374,9.119040582167363,5.50179946524091,0.7029157876968384
5.1251,-0.3367,1.1773,0.7018,-0.1606,0.3685,18.4251,5.346362377879111,0.7957096908018062,5.55137805003735,-0.25826740313087193,9.26833449781693,5.552576669029089,-0.1655639261007309
5.15008,-0.2788,2.3182,0.6854,-0.0685,0.3807,19.0367,5.294840258360238,0.8633978434434435,5.758067478450392,-0.23850651755881233,9.392642517822463,5.649547673404046,-0.3367765545845032
5.17508,-0.2307,1.9241,0.6931,0.0322,0.2395,11.9753,5.31903052179288,0.937418642725053,6.003867372678865,-0.21924907720447456,9.513285863403674,5.8070023795678125,-0.10838234424591064
5.20009,-0.1468,3.3568,0.7211,0.1171,0.1887,9.4334,5.406995116093394,1.0165648389328665,6.26790733899194,-0.20667622322217066,9.635950262732283,5.980560024409742,-0.16219763457775116
5.22508,-0.0854,2.455,0.7708,0.2081,-0.0991,-4.9564,5.563132270976807,1.090977444858565,6.535463815514045,-0.19152402467408974,9.781764698416751,6.192934030988088,-0.0011728341924026608
5.25008,-0.0216,2.5532,0.8409,0.294,-0.328,-16.398,5.783357915993451,1.1144710416139256,6.8225279042612526,-0.18651524110703174,9.951668281284926,6.411214083844935,-0.22526578605175018
5.27519,0.0668,3.5186,0.9203,0.3324,-0.4678,-23.3897,6.03280037268848,1.1095594732657292,7.081012865831304,-0.17898979709183133,10.172741969545667,6.597144084686951,-0.024564066901803017
5.30009,0.1384,2.8784,-0.9911,0.3712,-0.6627,-33.1334,6.311145481796537,1.0881114236453995,7.279464194351306,-0.1773616959316848,10.454674993945776,6.769721045923742,-0.1301475167274475
5.32513,0.1733,1.3917,-0.8969,0.3947,-0.6176,-30.8794,6.607083509764695,1.0485253630660203,7.404947390915806,-0.17623005914297238,10.818651996625677,6.919012783986583,-0.0588318333029747
5.35008,0.2022,1.1607,-0.8085,0.3702,-0.4954,-24.7705,6.884800300342032,0.9955325502312333,7.44841399526562,-0.17693653210526733,11.27524712498193,7.017515077564882,-0.05511469393968582
5.37509,0.2081,0.2355,-0.7321,0.3201,-0.3155,-15.7729,7.124817979076292,0.9339980850004449,7.406637629546606,-0.17919919926108407,11.821766155202116,7.065203563408684,-0.05102742090821266
5.40009,0.2013,-0.2749,-0.6771,0.2301,-0.2601,-13.0034,7.297605575023731,0.8650803092982104,7.282401380044777,-0.1873604316999079,12.433621076054914,7.052268322877832,-0.15207237005233765
5.42516,0.1885,-0.5091,-0.6461,0.1299,-0.2558,-12.7903,7.394994947285015,0.7883181914722892,7.084406125788822,-0.20764503919910007,13.066770806109183,6.9766740803011995,-0.3501906991004944
5.45008,0.16,-1.1428,-0.6404,0.024,-0.3474,-17.3719,7.412902025410476,0.700524740823711,6.829076071149224,-0.23205464736555184,13.656559830271087,6.849903513111268,-0.23876634240150452
5.47509,0.1335,-1.0599,-0.6619,-0.09,-0.337,-16.849,7.3453577833582955,0.6008351698557354,6.539175209981059,-0.24629485255207006,14.15399499920027,6.671832846437157,0.2307097315788269
5.50009,0.081,-2.1009,-0.7074,-0.1907,-0.4066,-20.3285,7.202415317619961,0.48825352060251354,6.242592101005452,-0.250226495527221,14.552111696978375,6.478900480765976,0.3531170189380646
5.52513,0.0358,-1.8033,-0.7756,-0.2858,-0.2284,-11.4205,6.988158698645137,0.37234604346470734,5.954395489503214,-0.2373483775732352,14.864932112055362,6.266368367941091,0.4973151981830597
5.55013,-0.0437,-3.1805,-0.8589,-0.3487,-0.0858,-4.2885,6.726464030601107,0.2571517236962654,5.68901529082151,-0.20969722217295214,15.106416755810384,6.085360131769555,0.5560503602027893
5.57508,-0.1001,-2.263,-0.9521,-0.3907,0.2546,12.7277,6.433667595286538,0.15315187165604469,5.454493949075282,-0.18451394041344804,15.289268951730506,5.9010876605296,-0.016690725460648537
5.60007,-0.1831,-3.3187,0.9517,-0.4029,0.5336,26.6783,6.1314463820112,0.06489981752434186,5.266091942146669,-0.17080294093235804,15.422499355774814,5.775255427921572,-0.28110602498054504
5.62523,-0.2283,-1.7953,0.8557,-0.4019,0.5779,28.8972,5.82985348726658,0.0058658042210128075,5.134091829986084,-0.15474383010625736,15.529695544809952,5.670570933908572,-0.02649073489010334
5.65008,-0.2749,-1.8764,0.7729,-0.3467,0.4925,24.6258,5.5697296155493445,-0.06050306468278084,5.086522601620097,-0.14592595084229998,15.612512895281611,5.620749582170073,-0.1516166478395462
5.67508,-0.2926,-0.707,0.7064,-0.2787,0.3173,15.8636,5.360813704085624,-0.11673179988859278,5.122709481253827,-0.13159825143071321,15.691137618139354,5.61097319941963,0.06223044544458389
5.70015,-0.3039,-0.4502,0.6614,-0.1887,0.2488,12.439,5.219442034674083,-0.16440792474147845,5.243261393771466,-0.1284697596506128,15.75713314943866,5.656585089022738,-0.21394768357276917
5.7251,-0.3043,-0.0197,0.6411,-0.0849,0.2046,10.2311,5.15566770380621,-0.20265443509611258,5.441169213929914,-0.11680756504611416,15.836223289982012,5.750319796909306,0.10179684311151505
5.75008,-0.2965,0.3144,0.6469,0.024,0.1679,8.3927,5.173888941197031,-0.23686589405736122,5.706598803994851,-0.11854185545248411,15.914707233412711,5.886605998871089,-0.23725196719169617
5.77514,-0.2862,0.4114,0.6781,0.1309,0.0559,2.7936,5.271906631989032,-0.2700305063051555,6.021239263681801,-0.11231859082587255,16.020724474601966,6.056619995222116,0.057628147304058075
5.80009,-0.267,0.7673,0.7334,0.2316,-0.1125,-5.6264,5.445636705732548,-0.30683463544897177,6.361364512080737,-0.11488706913455612,16.148275435556155,6.239987750473041,-0.13208557665348053
5.8251,-0.2553,0.471,0.8108,0.3242,-0.2831,-14.1568,5.688795977120399,-0.35248875705925514,6.699886145258403,-0.11776090195634911,16.316896759365232,6.43138382624043,-0.0909469872713089
5.85008,-0.244,0.4519,0.9049,0.3942,-0.4029,-20.1436,5.984419845823198,-0.4100245282547087,7.008578452169486,-0.12683169791084084,16.535642515391903,6.607823776178752,-0.1558532863855362
5.87514,-0.2459,-0.0784,-0.991,0.4362,-0.422,-21.1017,6.311459641061895,-0.4800364302240503,7.262606484619459,-0.1380162256319715,16.823832932236602,6.762340606165814,-0.10915785282850266
