time_s,pendulum_angle_unwrapped,pendulum_vel_rad_s
5.50024,0.208621,-10.699516
5.5103,0.109296,-9.932526
5.52052,0.004218,-10.507768
5.5303,-0.090121,-9.433982
5.54029,-0.189063,-9.894176
5.5503,-0.288388,-9.932526
5.56029,-0.37851,-9.012137
5.57064,-0.467097,-8.858739
5.58031,-0.548398,-8.130098
5.59021,-0.618961,-7.056312
5.6005,-0.684155,-6.519418
5.61052,-0.73516,-5.100486
5.62062,-0.77466,-3.950001
5.63052,-0.803806,-2.914563
5.6405,-0.822597,-1.879126
5.65052,-0.830267,-0.76699
5.66052,-0.826432,0.383495
5.67062,-0.809942,1.649029
5.68048,-0.785782,2.41602
5.6905,-0.74935,3.643204
5.70051,-0.701796,4.75534
5.71052,-0.64082,6.097574
5.72062,-0.575626,6.519418
5.73051,-0.506597,6.902914
5.74049,-0.423379,8.321846
5.7505,-0.330573,9.280584
5.76049,-0.239301,9.127186
5.77062,-0.147262,9.203885
5.78049,-0.046786,10.047574
5.79051,0.056757,10.35437
5.80051,0.154932,9.817477
5.81051,0.25234,9.740778
5.82062,0.344762,9.242234
5.83051,0.424146,7.938351
5.84049,0.505447,8.130098
5.85051,0.578311,7.286409
5.86065,0.644655,6.634467
5.87013,0.692209,4.75534
5.8803,0.740529,4.832039
5.89049,0.777345,3.681554
5.90049,0.801505,2.41602
5.91066,0.81301,1.150486
5.92062,0.81301,0.0
5.9305,0.800738,-1.227185
5.94049,0.779646,-2.109224
5.95051,0.7505,-2.914563
5.96063,0.704097,-4.640292
5.97052,0.65501,-4.908739
5.98051,0.592117,-6.289321
5.99049,0.525388,-6.672816
6.00051,0.443704,-8.168448
6.01053,0.353199,-9.050487
6.02019,0.276884,-7.631554
6.03018,0.185995,-9.088836
6.04027,0.089738,-9.625729
6.05008,-0.013039,-10.277671
6.06016,-0.10968,-9.664079
6.07021,-0.202102,-9.242234
6.0803,-0.289155,-8.705341
6.09028,-0.378126,-8.897089
6.10028,-0.459811,-8.168448
6.11029,-0.531524,-7.17136
6.12026,-0.596335,-6.481069
6.13052,-0.658078,-6.174273
6.14049,-0.702563,-4.448544
6.15051,-0.738995,-3.643204
6.16049,-0.762388,-2.339321
6.17063,-0.776578,-1.418932
6.18051,-0.780029,-0.345146
6.19049,-0.771976,0.80534
6.20049,-0.752801,1.917476
6.21048,-0.727107,2.569418
6.22063,-0.683388,4.371845
6.23052,-0.635835,4.75534
6.24049,-0.580228,5.56068
6.25052,-0.515418,6.481069
6.26051,-0.44217,7.324758
6.27063,-0.362019,8.01505
6.28052,-0.276884,8.513593
6.29049,-0.190981,8.590292
6.30051,-0.08015,11.083011
6.31051,-0.003835,7.631554
6.32063,0.088587,9.242234
6.33051,0.181777,9.318933
6.34049,0.269597,8.78204
6.35051,0.361636,9.203885
6.36052,0.436034,7.439807
6.37063,0.507748,7.17136
6.38051,0.574092,6.634467
6.39047,0.62433,5.023787
6.40049,0.674568,5.023787
6.41049,0.711384,3.681554
6.42062,0.740146,2.876214
6.43051,0.756253,1.61068
6.44049,0.762772,0.651942
6.45051,0.75932,-0.345146
6.46052,0.744364,-1.495631
6.47064,0.718287,-2.607767
6.48051,0.685689,-3.259709
6.49051,0.640437,-4.525243
6.5005,0.585981,-5.445632
6.51051,0.525772,-6.020875
6.52146,0.444854,-8.091749
6.53051,0.372757,-7.20971
6.54049,0.294141,-7.861652
6.5505,0.211306,-8.283496
6.56038,0.126937,-8.436894
6.57053,0.03068,-9.625729
6.58051,-0.061743,-9.242234
6.59051,-0.148029,-8.628642
6.60047,-0.238151,-9.012137
6.61049,-0.325204,-8.705341
6.62069,-0.400752,-7.554855
6.63037,-0.46518,-6.442719
6.64028,-0.527306,-6.212622
6.65019,-0.582913,-5.56068
6.66015,-0.63085,-4.79369
6.67051,-0.672267,-4.141748
6.68048,-0.703714,-3.144661
6.69052,-0.722121,-1.840777
6.70049,-0.729791,-0.76699
6.71021,-0.72749,0.230097
6.72063,-0.714835,1.265534
6.7305,-0.691442,2.339321
6.74049,-0.657694,3.374758
6.75052,-0.616277,4.141748
6.76052,-0.566422,4.985438
6.77063,-0.507364,5.905826
6.78052,-0.442937,6.442719
6.79052,-0.37084,7.20971
6.80052,-0.29299,7.784952
6.81049,-0.215141,7.784952
6.82063,-0.123102,9.203885
6.83052,-0.037583,8.551943
6.8405,0.046019,8.360195
6.85051,0.131155,8.513593
6.86049,0.215141,8.398545
6.87063,0.30066,8.551943
6.88038,0.369306,6.864564
6.89016,0.441403,7.20971
6.9003,0.506597,6.519418
6.91021,0.564888,5.829127
6.92063,0.61551,5.062137
6.9305,0.656927,4.141748
6.94049,0.684539,2.761165
6.95052,0.704864,2.032525
6.96052,0.711384,0.651942
6.97063,0.711384,0.0
6.98049,0.700646,-1.073787
6.99052,0.679937,-2.070874
7.00052,0.650408,-2.952913
7.0105,0.611291,-3.911651
7.02063,0.557219,-5.407282
7.03023,0.508131,-4.908739
7.0405,0.441403,-6.672816
7.05051,0.356651,-8.475244
7.06049,0.289539,-6.711166
7.07064,0.207471,-8.206797
7.08049,0.125403,-8.206797
7.09049,0.049471,-7.593205
7.10049,-0.050238,-9.970875
7.11049,-0.130388,-8.01505
7.12054,-0.20517,-7.478156
7.13049,-0.280335,-7.516506
7.14046,-0.362403,-8.206797
7.15049,-0.439485,-7.708253
7.16047,-0.490107,-5.062137
7.17064,-0.543029,-5.292234
7.18022,-0.582146,-3.911651
7.19031,-0.622029,-3.98835
7.20049,-0.655393,-3.336408
7.21049,-0.671117,-1.57233
7.22064,-0.680704,-0.958738
7.23038,-0.679553,0.115049
7.24037,-0.67035,0.920388
7.25011,-0.652709,1.764078
7.2601,-0.625481,2.722816
7.27107,-0.58483,4.065049
7.28028,-0.543413,4.141748
7.29016,-0.492024,5.138836
7.3003,-0.428364,6.36602
7.3103,-0.361636,6.672816
7.32061,-0.282636,7.900001
7.33049,-0.213223,6.941263
7.34046,-0.131922,8.130098
7.35047,-0.052922,7.900001
7.36049,0.035665,8.858739
7.37065,0.118884,8.321846
7.38047,0.197117,7.823302
7.39026,0.27535,7.823302
7.40049,0.360869,8.551943
7.41031,0.408422,4.75534
7.42062,0.474,6.557768
7.43049,0.52232,4.832039
7.44047,0.570257,4.79369
7.45049,0.616277,4.601942
7.46046,0.635452,1.917476
7.47062,0.656544,2.109224
7.48047,0.66383,0.728641
7.49049,0.66383,0.0
7.50049,0.648874,-1.495631
7.51019,0.636986,-1.188835
7.52064,0.604772,-3.22136
7.53049,0.571408,-3.336408
7.54047,0.524621,-4.678641
7.55049,0.45866,-6.596117
7.56045,0.412257,-4.640292
7.57061,0.344379,-6.787865
7.58049,0.274966,-6.941263
7.59049,0.198267,-7.669904
7.60047,0.10968,-8.858739
7.61049,0.046403,-6.327671
7.62064,-0.0395,-8.590292
7.63049,-0.119651,-8.01505
7.64046,-0.18983,-7.017962
7.65049,-0.26116,-7.133011
7.66049,-0.335942,-7.478156
7.67063,-0.399602,-6.36602
7.68049,-0.457893,-5.829127
7.69052,-0.506981,-4.908739
7.70052,-0.548782,-4.180098
7.71052,-0.58483,-3.604855
7.72063,-0.609757,-2.492719
7.73051,-0.627398,-1.764078
7.7405,-0.633918,-0.651942
7.75049,-0.634301,-0.03835
7.76051,-0.622796,1.150486
7.77063,-0.594418,2.837864
7.78019,-0.579078,1.533981
7.79021,-0.543413,3.566505
7.80052,-0.497393,4.601942
7.8105,-0.446772,5.062137
7.82063,-0.391165,5.56068
7.8303,-0.33249,5.867477
7.84073,-0.263845,6.864564
7.85027,-0.199418,6.442719
7.86017,-0.125786,7.363108
7.87012,-0.049471,7.631554
7.88023,0.032981,8.245147
7.89011,0.104694,7.17136
7.90027,0.181393,7.669904
7.91029,0.252723,7.133011
7.92051,0.323286,7.056312
7.93049,0.390782,6.749515
7.94029,0.444087,5.330583
7.95027,0.492024,4.79369
7.9605,0.533825,4.180098
7.97063,0.570257,3.643204
7.9805,0.594418,2.41602
7.99022,0.610141,1.57233
